Precipitacao,TempMaxima,TempMinima,Insolacao,Evaporacao Piche,Temp Comp Media,Umidade Relativa Media,Velocidade do Vento Media,Ocorrencia
,17.1,,6.9,1.9,11.78,68.75,1.23,LANINA
0,,9.8,,,,,2.07,LANINA
,21,,6.9,3.3,13.88,73.25,1.43,LANINA
0,,7.4,,,,,1.67,LANINA
,26,,7,2.8,19.18,71,2.33,LANINA
0,,12.5,,,,,4.00,LANINA
,21,,0,3.2,17.58,95.75,1.67,LANINA
2.4,,16.1,,,,,1.33,LANINA
,16.8,,0,0.9,13.14,91,1.00,LANINA
2.9,,11,,,,,2.60,LANINA
,20.3,,9,0.8,11.78,66,2.00,LANINA
0.7,,7.2,,,,,1.60,LANINA
,22.8,,9,3,12.9,64.25,2.27,LANINA
0,,5.5,,,,,3.73,LANINA
,25,,8.9,3,15.16,57.5,2.93,LANINA
0,,6.6,,,,,0.93,LANINA
,27.5,,8.7,4.2,18.6,69.5,4.33,LANINA
0,,11.9,,,,,4.87,LANINA
,28,,6.9,3.4,19.08,70.25,5.13,LANINA
0,,12.3,,,,,4.00,LANINA
,27.3,,8.7,3.8,18.92,67.75,4.33,LANINA
0,,13.4,,,,,5.33,LANINA
,27.1,,8.6,4,18.74,70,3.00,LANINA
0,,13.3,,,,,1.53,LANINA
,26.4,,8.7,3.4,17.98,71.75,2.10,LANINA
0,,12.9,,,,,3.40,LANINA
,26.9,,8.9,3.6,17.9,65.5,3.07,LANINA
0,,12.4,,,,,1.33,LANINA
,26.4,,8.8,4.4,17.8,67.5,1.67,LANINA
0,,12.6,,,,,2.33,LANINA
,27.4,,8.9,4.1,18.86,67.75,2.33,LANINA
0,,13.3,,,,,5.67,LANINA
,28,,8.4,3.7,19.52,69,5.00,LANINA
0,,12.9,,,,,3.67,LANINA
,28.6,,8.9,4,20.3,66.5,3.67,LANINA
0,,14,,,,,3.00,LANINA
,27.6,,8.9,4.6,19.64,65.75,2.33,LANINA
0,,15.1,,,,,1.67,LANINA
,28,,7.6,4.1,21.06,59.25,1.67,LANINA
0,,15.4,,,,,0.67,LANINA
,25.6,,8.5,5,19.56,51.5,2.67,LANINA
0,,16.4,,,,,1.33,LANINA
,25.9,,8.7,6.3,17.5,64.75,0.67,LANINA
0,,12.5,,,,,1.67,LANINA
,25.1,,8.7,3.5,17.36,66.5,4.67,LANINA
0,,13.5,,,,,2.33,LANINA
,25.5,,8.9,3.7,17.38,70,5.00,LANINA
0,,12.9,,,,,5.67,LANINA
,25.5,,7.5,4.1,17.34,69.75,3.67,LANINA
0,,12.8,,,,,3.67,LANINA
,26.7,,8.2,3.6,18.48,63,5.00,LANINA
0,,11.5,,,,,2.40,LANINA
,24.5,,8.6,3.7,18,72.25,1.87,LANINA
0,,12.9,,,,,2.00,LANINA
,24.9,,7,3.5,16.9,73.75,0.67,LANINA
0,,12.5,,,,,1.13,LANINA
,25.3,,4.7,3.4,18.46,72,0.40,LANINA
0,,13.8,,,,,1.80,LANINA
,26.3,,6.8,2.7,18.48,78.75,0.93,LANINA
0,,13,,,,,1.93,LANINA
,25.7,,7.3,2.9,18.02,75.75,1.67,LANINA
0,,12,,,,,1.67,LANINA
,24.9,,8.4,3,16.72,70.5,1.33,LANINA
0,,11.6,,,,,1.67,LANINA
,24.9,,8.8,3.4,16.5,63.75,1.67,LANINA
0,,10.3,,,,,2.00,LANINA
,25.4,,8.8,3.8,15.92,66,1.33,LANINA
0,,9.1,,,,,1.67,LANINA
,25.5,,8.7,3.4,17.02,66,1.67,LANINA
0,,14,,,,,2.33,LANINA
,26.4,,8.9,3.9,17.5,57.75,1.67,LANINA
0,,10.6,,,,,1.67,LANINA
,26.8,,8.5,4.8,19.62,58.25,1.67,LANINA
0,,13.5,,,,,0.67,LANINA
,27.3,,8.3,4.9,19.12,63.75,1.33,LANINA
0,,15.6,,,,,1.67,LANINA
,26.6,,6.2,5.1,18.62,66.5,2.00,LANINA
0,,15.8,,,,,1.67,LANINA
,27.8,,9,4.7,18.88,58.25,1.00,LANINA
0,,15.1,,,,,1.67,LANINA
,27.9,,8.9,4.9,18.88,56.75,2.67,LANINA
0,,13.7,,,,,3.00,LANINA
,27.9,,8.8,4.9,19.4,62,1.33,LANINA
0,,13.5,,,,,2.00,LANINA
,27.7,,8.1,4.3,18.84,67.5,3.00,LANINA
0,,12.3,,,,,1.00,LANINA
,24.5,,4.9,3.5,18.26,68.75,3.00,LANINA
0,,11.9,,,,,3.67,LANINA
,26.4,,6.6,4.7,19.62,55.5,4.33,LANINA
0,,15.1,,,,,3.67,LANINA
,28,,6.2,5.8,19.7,59.5,3.00,LANINA
0,,16.3,,,,,5.67,LANINA
,28.1,,6.8,4.7,20.6,62,3.67,LANINA
0,,15.1,,,,,3.00,LANINA
,19.4,,0.8,4.3,15.92,88.25,2.00,LANINA
2.2,,14.6,,,,,1.33,LANINA
,18.8,,0.7,0.8,15.3,89.25,0.67,LANINA
25.7,,13.9,,,,,1.00,LANINA
,18.3,,0.8,1,14.56,97.25,1.00,LANINA
12.9,,13.3,,,,,1.67,LANINA
,20.6,,8.1,0.4,12.74,74.5,1.67,LANINA
0.3,,6.6,,,,,1.00,LANINA
,24.6,,9.2,2.6,14.64,68,2.33,LANINA
0,,7.6,,,,,3.00,LANINA
,28.3,,8.2,4.4,17.7,56.75,1.67,LANINA
0,,9.3,,,,,1.67,LANINA
,28.4,,8.4,6.5,21.58,54.5,2.33,LANINA
0,,14.1,,,,,4.33,LANINA
,22.6,,0.1,6.4,19.4,86.5,1.67,LANINA
0,,17.9,,,,,2.33,LANINA
,21.5,,1,1.1,17.92,97.5,4.33,LANINA
7.7,,16.5,,,,,3.00,LANINA
,17.5,,0,0.4,13.92,93,4.00,LANINA
81.4,,12,,,,,3.00,LANINA
,17.3,,6.9,0.8,11.18,72,1.00,LANINA
6.7,,5.1,,,,,0.00,LANINA
,19.2,,2.7,2.3,13.16,76.75,0.67,LANINA
0,,9.3,,,,,0.67,LANINA
,17,,5.1,1.8,11.88,83.75,1.00,LANINA
0,,9.2,,,,,1.33,LANINA
,16.5,,8.9,2.2,10.46,68.75,1.00,LANINA
0,,7.8,,,,,4.00,LANINA
,20.5,,8.7,3.3,12.86,67.75,2.33,LANINA
0,,7,,,,,2.33,LANINA
,23.6,,7.6,4.8,15.44,68.75,3.00,LANINA
0,,9.8,,,,,3.00,LANINA
,24.6,,5,3.5,17.08,65.75,1.67,LANINA
0.6,,12.5,,,,,1.67,LANINA
,25.9,,7.4,3.8,17.92,64.5,1.33,LANINA
0,,12.7,,,,,1.67,LANINA
,26,,9.4,4.2,17.98,60.5,2.67,LANINA
0,,11.7,,,,,1.00,LANINA
,26.8,,8.4,3.9,17.96,64.5,1.33,LANINA
0,,11.8,,,,,2.33,LANINA
,25.9,,8.7,4,18,69.25,1.33,LANINA
0,,10.8,,,,,1.67,LANINA
,25.9,,9.4,4.8,18.9,64.75,0.67,LANINA
0,,13.5,,,,,1.33,LANINA
,28.5,,9,5.1,19.24,60.5,2.00,LANINA
0,,13.7,,,,,3.33,LANINA
,27.9,,8.7,5.3,19.54,57.25,2.33,LANINA
0,,13.6,,,,,2.00,LANINA
,26.7,,7.3,6.2,19.4,56,2.33,LANINA
0,,13.9,,,,,0.67,LANINA
,27.2,,6,5.8,19.06,58.5,3.67,LANINA
0,,15.7,,,,,1.67,LANINA
,27.7,,3.5,5.1,19.26,60.5,1.67,LANINA
0,,14,,,,,1.00,LANINA
,24.8,,8.7,4.7,17.34,71.75,1.00,LANINA
0,,12.3,,,,,2.33,LANINA
,26.6,,9.4,4.7,18.62,59.75,3.67,LANINA
0,,14.6,,,,,3.00,LANINA
,25.3,,9.1,5.1,18.54,54,1.67,LANINA
0,,13.8,,,,,1.00,LANINA
,26.3,,9.3,6.2,18.6,59,3.67,LANINA
0,,14.3,,,,,3.67,LANINA
,26,,9.5,5,17.66,55,3.00,LANINA
0,,12.3,,,,,1.67,LANINA
,26.8,,9.5,5.3,19.42,53.25,3.00,LANINA
0,,12.3,,,,,2.33,LANINA
,28.1,,9.6,5.4,19.4,56.5,2.33,LANINA
0,,12.7,,,,,3.00,LANINA
,27.2,,9.1,5.1,18.74,57,3.00,LANINA
0,,12.9,,,,,1.00,LANINA
,27.5,,9.4,5.6,19.32,56.5,1.00,LANINA
0,,13.6,,,,,1.00,LANINA
,27.6,,9.1,4.8,19.12,60,1.67,LANINA
0,,12.1,,,,,1.00,LANINA
,28.3,,9.2,4.5,19.02,57,1.67,LANINA
0,,11.8,,,,,1.67,LANINA
,28.5,,9.5,5.8,20,53.75,1.67,LANINA
0,,14.3,,,,,4.33,LANINA
,28.7,,9.7,6.3,20.12,50,3.00,LANINA
0,,16.1,,,,,1.67,LANINA
,30.6,,9.8,6.9,20.92,43.75,3.67,LANINA
0,,12.9,,,,,2.33,LANINA
,31.1,,7.7,7.9,21.9,40.75,2.33,LANINA
0,,15.1,,,,,1.67,LANINA
,28.3,,5.7,7.7,21.64,68.5,1.67,LANINA
0,,17.3,,,,,1.67,LANINA
,28.4,,4.9,4.1,18.5,75.75,1.67,LANINA
0,,15.3,,,,,1.00,LANINA
,27,,5.9,3.3,19.38,70.5,0.67,LANINA
0,,12.9,,,,,1.00,LANINA
,26.3,,7,3.7,18.76,74.75,2.33,LANINA
0,,13.9,,,,,4.33,LANINA
,28.3,,8.9,3.9,20.3,63.25,5.00,LANINA
0,,16.1,,,,,3.00,LANINA
,29.3,,9,5.6,21.48,58.25,1.67,LANINA
0,,16.9,,,,,5.00,LANINA
,30.5,,9,5.6,22.8,54.5,1.67,LANINA
0,,16.6,,,,,1.33,LANINA
,29.9,,9,6.1,22.14,56.5,1.00,LANINA
0,,17.2,,,,,1.00,LANINA
,28.5,,8.8,7.8,21.5,62.75,1.00,LANINA
0,,17.9,,,,,2.43,LANINA
,27.5,,9,6.1,20.04,61,1.67,LANINA
0,,16.3,,,,,1.67,LANINA
,28.9,,9.6,6.5,21.08,56.5,2.33,LANINA
0,,15.3,,,,,2.33,LANINA
,30.6,,9.2,6.2,21.98,52.5,2.33,LANINA
0,,16,,,,,2.33,LANINA
,30.1,,9.3,6.4,21.6,49.25,1.00,LANINA
0,,15.5,,,,,1.67,LANINA
,29.8,,8.9,6.8,20.92,50.5,2.00,LANINA
0,,14.1,,,,,1.00,LANINA
,28.6,,9.4,7.5,19.78,46.25,1.00,LANINA
0,,11.1,,,,,2.33,LANINA
,27.5,,9.9,7.1,20.2,53.5,1.67,LANINA
0,,14.9,,,,,1.67,LANINA
,28.7,,9.1,7.1,20.98,48,3.00,LANINA
0,,15.1,,,,,0.67,LANINA
,29.5,,8.4,6.9,21.98,44.25,1.00,LANINA
0,,16.3,,,,,1.00,LANINA
,31.1,,9.8,8,22.38,44.75,1.33,LANINA
0,,16.7,,,,,1.00,LANINA
,32,,8.5,7.3,23.56,43,1.67,LANINA
0,,15.5,,,,,1.67,LANINA
,31.8,,7.2,8.2,25.4,38,2.00,LANINA
0,,17.5,,,,,1.00,LANINA
,28.3,,8.5,8.1,20.32,64.5,2.33,LANINA
0,,15.5,,,,,1.67,LANINA
,31.5,,9.4,6,22.16,54.75,1.67,LANINA
0,,15.3,,,,,1.00,LANINA
,30.3,,3.2,7.5,22.7,62.25,1.00,LANINA
0,,19,,,,,1.67,LANINA
,33,,8.7,5.7,24.82,52.75,3.00,LANINA
0,,19.7,,,,,2.67,LANINA
,32.6,,6.9,8.2,25.26,49.75,2.00,LANINA
0,,19,,,,,1.67,LANINA
,33.1,,6.5,7.9,24.08,48.5,2.00,LANINA
0,,18.5,,,,,2.33,LANINA
,34.9,,8.7,8.6,25.3,41.5,2.00,LANINA
0,,18.4,,,,,1.67,LANINA
